Program Facility Name_x,Locality_x,County_x,Contributing Factor_x,Source_x,Material Name_x,Material Family_x,Year_x,Unrecovered Amount_x,Program Facility Name_y
CON ED FEEDER LEAK,QUEENS,Queens,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2010.0,1000.0,CON ED FEEDER LEAK
CON ED FEEDER LEAK,MANHATTAN,New York,Unknown,Commercial/Industrial,dielectric fluid,Petroleum,2015.0,585.0,CON ED FEEDER LEAK
CON ED FEEDER LEAK,MANHATTAN,New York,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2015.0,560.0,CON ED FEEDER LEAK
CON ED FEEDER LEAK,QUEENS,Queens,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2016.0,230.0,CON ED FEEDER LEAK
CON ED FEEDER LEAK,YONKERS,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2019.0,186.0,CON ED FEEDER LEAK
CON ED FEEDER LEAK,MANHATTAN,New York,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2009.0,350.0,CON ED FEEDER LEAK
CON ED FEEDER LEAK,MANHATTAN,New York,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2014.0,19000.0,CON ED FEEDER LEAK
CON ED FEEDER LEAK,STATEN ISLAND,Richmond,Equipment Failure,Transformer,dielectric fluid,Petroleum,2015.0,1080.0,CON ED FEEDER LEAK
CON ED FEEDER LEAK,MANHATTAN,New York,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2016.0,320.0,CON ED FEEDER LEAK
CON ED FEEDER LEAK,MANHATTAN,New York,Unknown,Transformer,dielectric fluid,Petroleum,2023.0,506.0,CON ED FEEDER LEAK
CON ED FEEDER LEAK- BRONX RIVER,BRONX,Bronx,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2015.0,860.0,CON ED FEEDER LEAK- BRONX RIVER
